Instructor,Course,Quarter,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received,Evalulation URL
McKay Mary A,MGT 164 - Business and Org Leadership (B),WI20,74,72,81.9%,90.3%,5.06,B (3.15),B (3.01),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988880
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (C),WI20,85,78,88.5%,89.7%,4.81,A- (3.70),B+ (3.55),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999174
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (D),WI20,78,66,93.9%,97.0%,4.5,A- (3.77),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999175
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),WI20,71,59,79.3%,82.8%,5.2,B (3.14),B (3.15),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988881
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),WI20,66,61,88.3%,81.7%,5.07,B+ (3.41),B (3.26),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988882
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),WI20,65,59,86.4%,88.1%,5.69,B (3.29),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988883
Shaffer Lisa Robock,MGT 166 - Corp Social Responsibility (D),WI20,37,24,95.8%,87.5%,5.98,B+ (3.57),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999176
Klaas Jeffrey David,MGT 167 - Social Entrepreneurship (A),WI20,70,65,96.9%,96.9%,3.7,B+ (3.61),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988884
Hedges Kathleen,MGT 172 - Business Project Management (A),WI20,97,88,87.5%,97.7%,3.73,B+ (3.40),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988885
Royal Rebecca,MGT 172 - Business Project Management (A),WI20,97,85,87.1%,92.9%,3.75,B+ (3.42),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988885A
Hedges Kathleen,MGT 172 - Business Project Management (B),WI20,75,72,98.6%,98.6%,4.25,B+ (3.49),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988886
Zimmermann Carsten,MGT 172 - Business Project Management (C),WI20,72,63,82.5%,88.9%,4.4,B+ (3.49),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999177
Fuller Robert L.,MGT 173 - Project Mgt- Health Services (A),WI20,108,52,96.0%,94.0%,5.9,A- (3.88),A- (3.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988887
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (B),WI20,97,86,96.5%,97.7%,4.22,B+ (3.67),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999432
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),WI20,37,30,89.7%,89.7%,3.4,B+ (3.59),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999178
McKay Michael J,MGT 18 - Managing Diverse Teams (A),WI20,71,57,86.0%,96.5%,4.01,B (3.17),C+ (2.64),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988864
McKay Michael J,MGT 18 - Managing Diverse Teams (B),WI20,69,59,75.9%,89.7%,4.05,B (3.26),B- (2.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988865
McKay Michael J,MGT 18 - Managing Diverse Teams (C),WI20,73,64,92.2%,98.4%,3.61,B (3.20),B- (2.98),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988866
McKay Mary A,MGT 18 - Managing Diverse Teams (D),WI20,64,62,79.0%,80.6%,3.73,B (3.11),B (3.13),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988867
Buchanan Harold G,MGT 181 - Enterprise Finance (A),WI20,125,123,95.9%,96.7%,5.3,B (3.29),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988888
Bliss Barbara Ann,MGT 181 - Enterprise Finance (B),WI20,103,94,96.8%,97.9%,4.69,B+ (3.37),B+ (3.30),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988889
Parashar Sat P,MGT 184 - Money and Banking (A),WI20,61,57,87.7%,86.0%,4.94,B+ (3.69),A- (3.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999179
Dunn Louis Jean,MGT 187 - New Venture Finance (A),WI20,70,37,100.0%,97.2%,4.56,B+ (3.54),B- (2.88),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988890
Dunn Louis Jean,MGT 187 - New Venture Finance (B),WI20,59,22,93.8%,93.8%,3.0,A- (3.88),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999159
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),WI20,53,26,88.0%,88.0%,4.26,B+ (3.59),B (3.21),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988852
Levkoff Steven B.,MGT 4 - Financial Accounting (A),WI20,9,3,66.7%,66.7%,5.17,C+ (2.67),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988854
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),WI20,141,131,96.9%,96.9%,5.75,B+ (3.47),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988868
Houskeeper Robert,MGT 5 - Managerial Accounting (A),WI20,97,74,83.6%,83.6%,4.61,B (3.16),B- (2.92),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988856
Houskeeper Robert,MGT 5 - Managerial Accounting (B),WI20,155,129,89.0%,92.1%,4.11,B+ (3.43),B (3.22),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988857
